Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
124,光譜 (4),曲之譜 (4),草木葉譜 (2),洋行軍鼓譜 (2),皇帝団乱旋譜 (1),御家中古今之譜 (1),注大家龍笛要録譜 (1),
125,実譜 (3),絃按譜 (4),草木実譜 (2),梅花喜神譜 (2),調及催馬楽譜 (1),園新地哥妓名譜 (1),馬楽笛附物仮名譜 (1),
126,蝶譜 (3),舞按譜 (4),物識獣譜 (2),類聚畧方譜 (2),楽及将律音譜 (1),説文解字篆韻譜 (1),金剛峯寺検校略譜 (1),
127,科譜 (3),王舞譜 (4),山艸木譜 (2),百花詩箋譜 (2),笙譜胡絃略譜 (1),藤岡流烽火全譜 (1),身座主伝法得略譜 (1),
128,貨譜 (3),老舞譜 (4),艸木名譜 (2),華族類別譜 (2),皇帝護宗略譜 (1),崑戈榮慶社曲譜 (1),大師黄不動印信譜 (1),
129,紗譜 (3),梵唄譜 (4),葭堂竹譜 (2),龍笛假名譜 (2),祖并武功之譜 (1),笠菴北詞廣正譜 (1),釋尊應世編年略譜 (1),
130,宮譜 (3),粟島譜 (4),木写生譜 (2),歴代帝王譜 (2),北蝦夷草木譜 (1),廬自書唱片曲譜 (1),年以来御徒目付譜 (1),
131,並譜 (3),物案譜 (4),啓蒙介譜 (2),真宗五派譜 (2),合戦之巻略譜 (1),歴代並公族略譜 (1),即身成仏義得略譜 (1),
132,説譜 (3),三徳譜 (4),諸州薬譜 (2),天神地神譜 (2),甲陽軍鑑略譜 (1),再版袖寶古錢譜 (1),宮城暗射図指南譜 (1),
133,星譜 (3),氏樂譜 (4),精草科譜 (2),書畫人名譜 (2),諸大名衆名譜 (1),村家中騷動之譜 (1),厳経方誌釈迦氏譜 (1),
134,門譜 (3),清樂譜 (4),破陣楽譜 (2),国画家略譜 (2),蘆声集仮名譜 (1),原田甲斐喧嘩譜 (1),山円福寺普明院譜 (1),
135,盟譜 (3),三光譜 (4),香竜笛譜 (2),可秘曲之譜 (2),道策門人碁譜 (1),宗良流刑閉門譜 (1),院流附法諸祖伝譜 (1),
136,頌譜 (3),大曲譜 (4),合竜笛譜 (2),式川除御譜 (2),字類聚略方譜 (1),淨土真宗五派譜 (1),川通定式川除御譜 (1),
137,講譜 (3),馬樂譜 (4),斎翎毛譜 (2),水月居琴譜 (2),安心血脈之譜 (1),縁起并三虚靈譜 (1),郷御定式川除御譜 (1),
138,哥譜 (3),治国譜 (4),庫之秘譜 (2),琶調子並譜 (2),内正祝権祝譜 (1),高麗遠楽比巴譜 (1),田春庭楽回抔楽譜 (1),
