id,title,matched_pattern,reason
https://jpsearch.go.jp/data/adeac-R100000094_I000141469_00,諸士系譜 巻之87 わ之部1,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141470_00,諸士系譜 巻之88 わ之部2,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141471_00,諸士系譜 巻之89 わ之部3,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141472_00,諸士系譜 巻之90 わ之部4,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141473_00,諸士系譜 巻之92 わ之部6,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141474_00,諸士系譜 巻之93 か之部1,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141475_00,諸士系譜 巻之94 か之部2,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141476_00,諸士系譜 巻之95 か之部3,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141477_00,諸士系譜 巻之96 か之部4,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141478_00,諸士系譜 巻之97 か之部5,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141479_00,諸士系譜 巻之98 か之部6,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141480_00,諸士系譜 巻之99 か之部7,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141481_00,諸士系譜 巻之100 か之部8,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141482_00,諸士系譜 巻之101 か之部9,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141483_00,諸士系譜 巻之102 か之部10,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141484_00,諸士系譜 巻之103 か之部11,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141485_00,諸士系譜 巻之104 か之部12,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141486_00,諸士系譜 巻之105 か之部13,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141487_00,諸士系譜 巻之106 か之部14,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141488_00,諸士系譜 巻之107 か之部15,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141489_00,諸士系譜 巻之108 か之部16,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141490_00,諸士系譜 巻之109 か之部17,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141491_00,諸士系譜 巻之110 か之部18,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141492_00,諸士系譜 巻之111 か之部19,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141493_00,諸士系譜 巻之112 か之部20,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141494_00,諸士系譜 巻之113 か之部21,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141495_00,諸士系譜 巻之114 か之部22,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141496_00,諸士系譜 巻之115 か之部23,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141497_00,諸士系譜 巻之116 か之部24,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141498_00,諸士系譜 巻之117 か之部25,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141499_00,諸士系譜 巻之118 よ之部1,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141500_00,諸士系譜 巻之119 よ之部2,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141501_00,諸士系譜 巻之120 よ之部3,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141502_00,諸士系譜 巻之122 よ之部5,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141503_00,諸士系譜 巻之123 よ之部6,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141504_00,諸士系譜 巻之124 よ之部7,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141505_00,諸士系譜 巻之125 た之部1,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141506_00,諸士系譜 巻之126 た之部2,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141507_00,諸士系譜 巻之127 た之部3,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141508_00,諸士系譜 巻之128 た之部4,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141509_00,諸士系譜 巻之129 た之部5,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141510_00,諸士系譜 巻之130 た之部6,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141511_00,諸士系譜 巻之131 た之部7,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141512_00,諸士系譜 巻之132 た之部8,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141513_00,諸士系譜 巻之133 た之部9,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141514_00,諸士系譜 巻之135 た之部11,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141515_00,諸士系譜 巻之136 た之部12,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141516_00,諸士系譜 巻之138 た之部14,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141517_00,諸士系譜 巻之139 た之部15,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141518_00,諸士系譜 巻之140 た之部16,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141519_00,諸士系譜 巻之141 た之部17,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141520_00,諸士系譜 巻之142 た之部18,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141521_00,諸士系譜 巻之143 た之部19,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141522_00,諸士系譜 巻之144 た之部20,諸士,N-Gramルール除外: 「諸士」
